Date;Price;Volume
2020-09-28;2.52;27057200
2020-09-29;2.59;20950400
2020-09-30;2.55;24316000
2020-10-01;2.44;18216400
2020-10-02;2.35;17362000
2020-10-05;2.37;11220000
2020-10-06;2.28;18141600
2020-10-07;2.34;13234400
2020-10-08;3.37;305814400
2020-10-09;3.01;308611200
2020-10-12;2.95;94622800
2020-10-13;2.97;40718800
2020-10-14;3.06;43045600
2020-10-15;3.46;159579200
2020-10-16;3.33;46606400
2020-10-19;3.48;52676400
2020-10-20;3.46;26416000
2020-10-21;3.53;21447600
2020-10-22;3.73;64848800
2020-10-23;3.75;26029200
2020-10-26;3.36;53505200
2020-10-27;3.17;28924000
2020-10-28;2.95;25554400
2020-10-29;2.93;16663200
2020-10-30;2.62;46187600
2020-11-02;2.69;20908000
2020-11-03;2.89;29818000
2020-11-04;2.73;23231600
2020-11-05;2.86;18820800
2020-11-06;2.96;22072800
2020-11-09;2.87;24979600
2020-11-10;2.78;15304000
2020-11-11;2.94;19530400
2020-11-12;2.78;17413200
2020-11-13;2.75;14143600
2020-11-16;3.02;39099200
2020-11-17;2.91;26712800
2020-11-18;2.89;12676800
2020-11-19;3.12;47150400
2020-11-20;3.18;33581600
2020-11-23;3.47;38396400
2020-11-24;3.42;28732800
2020-11-25;3.69;35440400
2020-11-27;4.02;50016800
2020-11-30;4.14;127934000
2020-12-01;3.95;50615600
2020-12-02;4.14;31533600
2020-12-03;4.03;25180000
2020-12-04;4.22;35890800
2020-12-07;4.09;29545200
2020-12-08;4.24;64480800
2020-12-09;3.41;97431600
2020-12-10;3.53;30235600
2020-12-11;3.33;29987600
2020-12-14;3.18;40028400
2020-12-15;3.46;32759200
2020-12-16;3.46;23460400
2020-12-17;3.71;32779600
2020-12-18;3.91;66475200
2020-12-21;3.88;39504400
2020-12-22;4.86;122610800
2020-12-23;5.14;103321200
2020-12-24;5.04;25048800
2020-12-28;5.25;35863600
2020-12-29;4.84;36965600
2020-12-30;4.82;23737600
2020-12-31;4.71;27690800
2021-01-04;4.31;40090000
2021-01-05;4.34;19846000
2021-01-06;4.59;24224800
2021-01-07;4.52;24517200
2021-01-08;4.42;25928000
2021-01-11;4.99;59632000
2021-01-12;4.99;28242800
2021-01-13;7.85;578006800
2021-01-14;9.98;374869600
2021-01-15;8.88;187465600
2021-01-19;9.84;298887600
2021-01-20;9.78;133887200
2021-01-21;10.76;224867600
2021-01-22;16.25;788631600
2021-01-25;19.2;711496000
2021-01-26;36.99;714352000
2021-01-27;86.88;373586800
2021-01-28;48.4;235263200
2021-01-29;81.25;202264400
2021-02-01;56.25;149528800
2021-02-02;22.5;312732400
2021-02-03;23.1;170794000
2021-02-04;13.38;249709200
2021-02-05;15.94;325380000
2021-02-08;15.0;102749200
2021-02-09;12.58;107372400
2021-02-10;12.8;145820000
2021-02-11;12.77;52226800
2021-02-12;13.1;58293200
2021-02-16;12.38;32700000
2021-02-17;11.48;36747200
2021-02-18;10.17;95962400
2021-02-19;10.15;59312800
2021-02-22;11.5;77904000
2021-02-23;11.24;30260800
2021-02-24;22.93;332446800
2021-02-25;27.18;601235200
2021-02-26;25.43;368776800
2021-03-01;30.1;199176000
2021-03-02;29.55;135132000
2021-03-03;31.05;77095600
2021-03-04;33.09;130427600
2021-03-05;34.44;122934800
2021-03-08;48.63;254262400
2021-03-09;61.72;156397200
2021-03-10;66.25;286282400
2021-03-11;65.0;113250000
2021-03-12;66.13;103383600
2021-03-15;55.03;96401600
2021-03-16;52.04;141691600
2021-03-17;52.45;65926400
2021-03-18;50.44;47059600
2021-03-19;50.07;98709200
2021-03-22;48.62;40246000
2021-03-23;45.44;57716400
2021-03-24;30.08;96711600
2021-03-25;45.94;203849200
2021-03-26;45.25;149722800
2021-03-29;45.33;40168800
2021-03-30;48.62;68379600
2021-03-31;47.46;33575200
2021-04-01;47.86;37337200
2021-04-05;46.74;56282000
2021-04-06;46.13;24873200
2021-04-07;44.49;19073200
2021-04-08;42.56;40189600
2021-04-09;39.59;37849600
2021-04-12;35.27;66734400
2021-04-13;35.25;27227600
2021-04-14;41.63;84552400
2021-04-15;39.11;31427200
2021-04-16;38.67;20858800
2021-04-19;41.09;42080800
2021-04-20;39.63;18634400
2021-04-21;39.63;15251200
2021-04-22;37.79;17383200
2021-04-23;37.79;16116400
2021-04-26;42.23;42128400
2021-04-27;44.44;35730800
2021-04-28;44.65;23155600
2021-04-29;44.05;15041200
2021-04-30;43.4;17734400
2021-05-03;40.55;21044000
2021-05-04;40.18;16030000
2021-05-05;39.87;11221600
2021-05-06;40.25;11771200
2021-05-07;40.28;11738400
2021-05-10;35.81;19226800
2021-05-11;36.73;18738400
2021-05-12;36.2;10926000
2021-05-13;41.13;35494000
2021-05-14;39.98;17174000
2021-05-17;45.15;29848400
2021-05-18;45.17;30954800
2021-05-19;42.21;19303600
2021-05-20;42.62;9912800
2021-05-21;44.2;14618800
2021-05-24;45.0;18657200
2021-05-25;52.36;59550000
2021-05-26;60.64;84479600
2021-05-27;63.53;62105200
2021-05-28;55.5;47005600
2021-06-01;62.26;38502400
2021-06-02;70.56;64076800
2021-06-03;64.54;32000000
2021-06-04;62.09;14550000
2021-06-07;70.0;24206000
2021-06-08;75.0;69756400
2021-06-09;75.64;53717200
2021-06-10;55.1;91920800
2021-06-11;58.33;62323200
2021-06-14;57.36;28530400
2021-06-15;55.63;29207600
2021-06-16;55.74;22259200
2021-06-17;55.9;18434400
2021-06-18;53.46;17281200
2021-06-21;50.09;20480800
2021-06-22;55.1;32800800
2021-06-23;54.83;14220400
2021-06-24;53.08;15453200
2021-06-25;52.38;50770800
2021-06-28;53.31;19517600
2021-06-29;52.72;9920000
2021-06-30;53.53;10158400
2021-07-01;51.09;10968400
2021-07-02;50.71;10396400
2021-07-06;49.89;11072400
2021-07-07;47.67;16958000
2021-07-08;47.85;11430000
2021-07-09;47.81;6331600
2021-07-12;47.31;6545200
2021-07-13;45.01;9591600
2021-07-14;41.9;15655200
2021-07-15;41.71;17194400
2021-07-16;42.26;13151600
2021-07-19;43.37;9747600
2021-07-20;47.79;12404400
2021-07-21;46.45;8916800
2021-07-22;44.71;5652000
2021-07-23;45.09;5264800
2021-07-26;45.99;5042400
2021-07-27;44.63;4859200
2021-07-28;42.28;16403200
2021-07-29;41.22;8960000
2021-07-30;40.28;9508400
2021-08-02;39.41;10131600
2021-08-03;38.19;57802400
2021-08-04;36.7;9574000
2021-08-05;38.36;9648400
2021-08-06;37.94;5410800
2021-08-09;40.28;8996800
2021-08-10;39.76;6493200
2021-08-11;39.69;3781600
2021-08-12;40.59;5271200
2021-08-13;40.63;4059200
2021-08-16;40.98;6290400
2021-08-17;40.89;4863600
2021-08-18;39.26;5647200
2021-08-19;38.22;4786000
2021-08-20;39.83;4619600
2021-08-23;41.22;5372000
2021-08-24;52.57;58608800
2021-08-25;49.91;51444400
2021-08-26;51.31;24954400
2021-08-27;51.24;12923200
2021-08-30;52.3;13238400
2021-08-31;54.56;14298800
2021-09-01;53.24;17815200
2021-09-02;53.38;7408000
2021-09-03;50.69;10634400
2021-09-07;49.75;9985200
2021-09-08;49.7;20694400
2021-09-09;49.79;30046000
2021-09-10;47.6;12170400
2021-09-13;50.85;17336400
2021-09-14;49.81;8566400
2021-09-15;51.13;9241600
2021-09-16;51.59;12232800
2021-09-17;51.24;15783600
2021-09-20;48.05;15767200
2021-09-21;47.49;10535200
2021-09-22;47.53;9026400
2021-09-23;47.81;6729200
2021-09-24;46.29;6743200
2021-09-27;47.37;5880400
2021-09-28;44.65;7082000
2021-09-29;43.98;7599600
2021-09-30;43.87;12682800
2021-10-01;44.23;6204400
2021-10-04;42.84;4782800
2021-10-05;43.04;5263600
2021-10-06;42.77;4801200
2021-10-07;43.03;4637200
2021-10-08;43.17;3272800
2021-10-11;44.53;10739600
2021-10-12;43.96;4934800
2021-10-13;46.01;7711600
2021-10-14;45.96;6695600
2021-10-15;45.82;4800000
2021-10-18;46.51;6358400
2021-10-19;46.7;8282400
2021-10-20;46.13;9107600
2021-10-21;45.43;9609600
2021-10-22;42.45;11201600
2021-10-25;43.49;5771200
2021-10-26;44.46;8706800
2021-10-27;43.38;4428000
2021-10-28;45.71;6784800
2021-10-29;45.88;9176000
2021-11-01;50.02;19776800
2021-11-02;51.75;15529200
2021-11-03;54.58;45062400
2021-11-04;54.46;11632000
2021-11-05;53.31;7242800
2021-11-08;54.66;8631600
2021-11-09;51.65;7381200
2021-11-10;49.8;5237600
2021-11-11;51.08;4317600
2021-11-12;50.53;3712000
2021-11-15;52.28;5865600
2021-11-16;51.79;4858400
2021-11-17;52.5;5410800
2021-11-18;52.53;4017600
2021-11-19;57.2;12136800
2021-11-22;61.89;17485600
2021-11-23;53.47;13380800
2021-11-24;52.94;5237600
2021-11-26;49.93;4941200
2021-11-29;50.5;4435200
2021-11-30;49.05;6895600
2021-12-01;44.96;9406000
2021-12-02;45.39;8348400
2021-12-03;43.1;16386800
2021-12-06;41.78;8914400
