Date;Avg_Sentiment_Final;Avg_Sentiment_VADER;Avg_Subjectivity;Median_Upvotes;Avg_Upvotes;Sum_Upvotes;Post_Count;Subs_WSB;Posts_WSB;Comments_WSB;Subs_Superstonk;Posts_Superstonk;Comments_Superstonk;Subs_GME;Posts_GME;Comments_GME;Price;Volume;Total_Posts;Total_Comments;Total_Subscribers;Price_Change;Log_Return;Price_Log;Avg_Sentiment_Final_Lag1;Avg_Sentiment_Final_Lag2;Avg_Sentiment_Final_Lag3;Avg_Sentiment_Final_Lag4;Avg_Sentiment_Final_Lag5;Avg_Sentiment_VADER_Lag1;Avg_Sentiment_VADER_Lag2;Avg_Sentiment_VADER_Lag3;Avg_Sentiment_VADER_Lag4;Avg_Sentiment_VADER_Lag5;Post_Count_Lag1;Post_Count_Lag2;Post_Count_Lag3;Post_Count_Lag4;Post_Count_Lag5;Total_Posts_Lag1;Total_Posts_Lag2;Total_Posts_Lag3;Total_Posts_Lag4;Total_Posts_Lag5;Total_Comments_Lag1;Total_Comments_Lag2;Total_Comments_Lag3;Total_Comments_Lag4;Total_Comments_Lag5;Total_Subscribers_Lag1;Total_Subscribers_Lag2;Total_Subscribers_Lag3;Total_Subscribers_Lag4;Total_Subscribers_Lag5;Median_Upvotes_Lag1;Median_Upvotes_Lag2;Median_Upvotes_Lag3;Median_Upvotes_Lag4;Median_Upvotes_Lag5;Sum_Upvotes_Lag1;Sum_Upvotes_Lag2;Sum_Upvotes_Lag3;Sum_Upvotes_Lag4;Sum_Upvotes_Lag5;Volume_Lag1;Volume_Lag2;Volume_Lag3;Volume_Lag4;Volume_Lag5;Log_Return_Lag1;Log_Return_Lag2;Log_Return_Lag3;Log_Return_Lag4;Log_Return_Lag5
2021-01-19;0.4995;0.4995;0.0;0.0;0.0;0.0;1.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;9.84;298887600.0;2640.0;42133.0;12310226.0;0.9599999999999991;0.10265415406008316;2.286455711064162;0.3034;0.2626;0.5882;0.8128;0.8778;0.3034;0.2626;0.5882;0.8128;0.8682;1.0;2.0;1.0;2.0;2.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;187465600.0;187465600.0;187465600.0;187465600.0;374869600.0;0.0;0.0;0.0;-0.1167815333192939;0.24006955852905568
2021-01-20;0.7555;0.7555;0.0;0.0;0.0;0.0;1.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;9.78;133887200.0;2640.0;42133.0;12310226.0;-0.0600000000000005;-0.006116227017436094;2.280339484046726;0.4995;0.3034;0.2626;0.5882;0.8128;0.4995;0.3034;0.2626;0.5882;0.8128;1.0;1.0;2.0;1.0;2.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;298887600.0;187465600.0;187465600.0;187465600.0;187465600.0;0.10265415406008316;0.0;0.0;0.0;-0.1167815333192939
2021-01-21;0.843;0.843;0.25;0.0;0.0;0.0;2.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;10.76;224867600.0;2640.0;42133.0;12310226.0;0.9800000000000004;0.09549607068691233;2.3758355547336385;0.7555;0.4995;0.3034;0.2626;0.5882;0.7555;0.4995;0.3034;0.2626;0.5882;1.0;1.0;1.0;2.0;1.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;133887200.0;298887600.0;187465600.0;187465600.0;187465600.0;-0.006116227017436094;0.10265415406008316;0.0;0.0;0.0
2021-01-22;0.3034;0.3034;0.1;0.0;0.0;0.0;1.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;16.25;788631600.0;2640.0;42133.0;12310226.0;5.49;0.4122573540421081;2.7880929087757464;0.843;0.7555;0.4995;0.3034;0.2626;0.843;0.7555;0.4995;0.3034;0.2626;2.0;1.0;1.0;1.0;2.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;224867600.0;133887200.0;298887600.0;187465600.0;187465600.0;0.09549607068691233;-0.006116227017436094;0.10265415406008316;0.0;0.0
2021-01-23;0.6004;0.6004;0.1111;0.0;0.0;0.0;3.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;16.25;788631600.0;2640.0;42133.0;12310226.0;0.0;0.0;2.7880929087757464;0.3034;0.843;0.7555;0.4995;0.3034;0.3034;0.843;0.7555;0.4995;0.3034;1.0;2.0;1.0;1.0;1.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;788631600.0;224867600.0;133887200.0;298887600.0;187465600.0;0.4122573540421081;0.09549607068691233;-0.006116227017436094;0.10265415406008316;0.0
2021-01-24;0.9049;0.9049;0.3;0.0;0.0;0.0;1.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;16.25;788631600.0;2640.0;42133.0;12310226.0;0.0;0.0;2.7880929087757464;0.6004;0.3034;0.843;0.7555;0.4995;0.6004;0.3034;0.843;0.7555;0.4995;3.0;1.0;2.0;1.0;1.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;788631600.0;788631600.0;224867600.0;133887200.0;298887600.0;0.0;0.4122573540421081;0.09549607068691233;-0.006116227017436094;0.10265415406008316
2021-01-25;-0.4691;-0.4691;0.7143;0.0;0.0;0.0;1.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;19.2;711496000.0;2640.0;42133.0;12310226.0;2.9499999999999993;0.1668173702579893;2.954910279033736;0.9049;0.6004;0.3034;0.843;0.7555;0.9049;0.6004;0.3034;0.843;0.7555;1.0;3.0;1.0;2.0;1.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;788631600.0;788631600.0;788631600.0;224867600.0;133887200.0;0.0;0.0;0.4122573540421081;0.09549607068691233;-0.006116227017436094
2021-01-26;0.6275;0.6275;0.0;0.0;0.0;0.0;2.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;36.99;714352000.0;2640.0;42133.0;12310226.0;17.790000000000003;0.6557373268106268;3.610647605844363;-0.4691;0.9049;0.6004;0.3034;0.843;-0.4691;0.9049;0.6004;0.3034;0.843;1.0;1.0;3.0;1.0;2.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;711496000.0;788631600.0;788631600.0;788631600.0;224867600.0;0.1668173702579893;0.0;0.0;0.4122573540421081;0.09549607068691233
2021-01-27;0.5703;0.5703;0.1583;0.0;0.0;0.0;3.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;86.88;373586800.0;2640.0;42133.0;12310226.0;49.88999999999999;0.8538802503412627;4.464527856185625;0.6275;-0.4691;0.9049;0.6004;0.3034;0.6275;-0.4691;0.9049;0.6004;0.3034;2.0;1.0;1.0;3.0;1.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;714352000.0;711496000.0;788631600.0;788631600.0;788631600.0;0.6557373268106268;0.1668173702579893;0.0;0.0;0.4122573540421081
2021-01-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11259573.0;698.0;18641.0;698842.0;1600.0;21020.0;351811.0;342.0;2472.0;48.4;235263200.0;2640.0;42133.0;12310226.0;-38.48;-0.5850280424630393;3.879499813722586;0.5703;0.6275;-0.4691;0.9049;0.6004;0.5703;0.6275;-0.4691;0.9049;0.6004;3.0;2.0;1.0;1.0;3.0;2640.0;2640.0;2640.0;2640.0;2640.0;42133.0;42133.0;42133.0;42133.0;42133.0;12310226.0;12310226.0;12310226.0;12310226.0;12310226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;373586800.0;714352000.0;711496000.0;788631600.0;788631600.0;0.8538802503412627;0.6557373268106268;0.1668173702579893;0.0;0.0
